Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,لِنُفَكّر بأسوأ ما يمكن أن يكون قد حصل.,Let's consider the worst that could happen.
,,المتاجر المحلية تقوم بمتاجرة جيدة مع السياح .,Local shops do good business with tourists.
,,ربّما تخبرني عن مكانٍ أجد فيه توم.,Maybe you can tell me where I can find Tom.
,,ربّما تخبرينني عن مكانٍ أجد فيه توم.,Maybe you can tell me where I can find Tom.
,,اِشترت أمي مظلة صفراء لأخي.,Mother bought my brother a yellow umbrella.
,,يؤمن المسلمون أنّه هناك ربّ واحد فقط.,Muslims believe that there is only one God.
,,أمي وأبي عندهما مزرعة كبيرة هناك.,My father and mother have a big farm there.
,,اسمي معروف لدى الجميع في مدرستي.,My name is known to everybody in my school.
,,عادةً ما تشرب أختي الكبيرة الشاي مع الحليب.,My older sister often drinks tea with milk.
,,كثيراً ما تشرب أختي الكبرى الشاي بالحليب.,My older sister often drinks tea with milk.
,,لم أسمع في حياتي بهذا البتة.,Never in my life have I heard such a thing.
,,النرويج هي أغنى دولةٍ في العالم.,Norway is the richest country in the world.
,,عدني أنك لن تغضب إن قلت لك.,Promise me you won't get mad if I tell you.
,,التطورات الاخيرة في الدواء جديرة بالملاحظة,Recent advances in medicine are remarkable.
,,احترم نفسك و سيحترمك الآخرون.,Respect yourself and you will be respected.
,,أمضت حياتها في السعي وراء الحقيقة.,She spent her life in pursuit of the truth.
,,النجاح في الحياة يتطلب جهودًا متواصلة.,Success in life calls for constant efforts.
,,الأطفال يحبون الاستماع إلى القصص الخيالية.,The children love listening to fairy tales.
,,عيادة الطبيب في الدور الثاني.,The doctor's office is on the second floor.
,,كان لاعبي كرة القدم متعبين لكنّهم سعداء.,"The football players were tired, but happy."
,,المنزل الواقف على التلة قديم جداً.,The house standing on the hill is very old.
,,وصلت أسعار الأسهم ذروتها في يوليو الماضي.,The stock reached its high point last July.
,,هناك الكثير من المشاكل التي لا يمكننا تجنبها.,There are a lot of problems we can't avoid.
,,هنالك العديد من السياح الاجانب في أساكوسا .,There are many foreign tourists in Asakusa.
,,لقد حدث حادث في ورشة البناء.,There has been an accident at the worksite.
,,إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,These three countries were united into one.
,,إنهم يراقبون ما يحدث عن كثب.,They are watching what's happening closely.
,,أبقَوْ حبهما سراً.,They kept it secret that they were in love.
,,لم يأتي توم إلى الحفلة الليلة الماضية.,Tom didn't show up at the party last night.
,,لم يرك أحد منذ أربع سنوات.,We haven't seen you in the past four years.
,,يجب أن نذهب إلى هناك سواء أردنا ذلك أم لا.,We must go there whether we like it or not.
,,ما تقوله ليس له أيُ معنىً لي.,What you say does not make any sense to me.
,,ستشعر بتحسن إذا تناولت هذه الحبوب.,You'll feel better if you take these pills.
,,القليل من المعرفة يمكن أن يكون شيء خطير.,A little knowledge can be a dangerous thing.
,,يمكن للبجعة أن تستوعب الكثير من الأسماك في منقارها.,A pelican can fit a lot of fish in its beak.
,,كل ما كان يحتاجه توم كان حقاً بخصوص عشرة دولارات.,All Tom really needed was about ten dollars.
,,الضوء الإصطناعي يُولّد بالكهرباء.,Artificial light is produced by electricity.
,,على حد علمي، هو طالب ممتاز.,"As far as I know, he's an excellent student."
,,كلا الطالبين لم ينجحا الإختبار.,Both of those students didn't pass the test.
,,هل بإمكاننا الذّهاب إلى البحيرة لمشاهدة شروق الشّمس؟,Can we go to the lake and watch the sunrise?
,,هل يمكنك أن تخبرني كيف أصل إلى المحطة؟,Could you tell me how to get to the station?
,,أتريد مني مساعدتك في الطبخ؟,Do you want me to help you with the cooking?
,,يأتي كل يوم لزيارة صديقه المريض.,He comes every day to visit his sick friend.
,,لم يستطع أن يجعل نفسه تطلق على الأيِّل.,He couldn't bring himself to shoot the deer.
,,قرر أن يبقي خطته سراً.,He made up his mind to keep his plan secret.
,,وصل إلى بيته قبل الخامسة بدقائق.,He reached home shortly before five o'clock.
,,قال لابنه أن ينزل عن السلم.,He told his son to get down from the ladder.
,,خيبَةُ أملها كانت جليّة للجميع.,Her disappointment was apparent to everyone.
,,كم من الوقت يلزم للوصول إلى المحطّة.,How long does it take to get to the station?
,,لم أعلم بأنه كان على توم فعل ذلك بنفسه.,I didn't know Tom had to do that by himself.
,,لا أحبه لأنه ماكر كالثعلب.,I don't like him because he is sly as a fox.
,,لدي كُتب قرأتها مرارا وتكرارا.,I have books that I've reread several times.
,,لم تسنح لي الفرصة لمشاهدة الفيلم.,I haven't had a chance to see the movie yet.
,,أريد فقط إجابة صريحة، لا أكثر.,I just want a straight answer. Nothing more.
,,بحثت في المنزل كله عن تلك الرسالة.,I looked all over the house for that letter.
,,قابلتها في المقهى القريب من المحطة.,I met her in a coffee shop near the station.
,,لقد رأيت مجموعة من السياح الذين يتكلمون التركية .,I saw a group of tourists who spoke Turkish.
,,أنا أعتقد أني بطريق الخطأ أرسلت البريد الإلكتروني إلى توم.,I think I mistakenly sent that email to Tom.
,,أعتقد أنك أخطأتني بشخص آخر.,I think you've mistaken me for someone else.
,,كنت أسبح كل يوم عندما كنت صغيراً.,I used to swim every day when I was a child.
,,عملت عملا شاقا لكي أدعم عائلتي.,I worked hard in order to support my family.
,,إني أبحث عن كتاب عن اسبانيا في العصور الوسطى.,I'm looking for a book about medieval Spain.
,,أنا أتتطلع لحفلة عيد القديسيين خاصتك.,I'm looking forward to your Halloween party.
,,أنا أتتطلع لحفلة الهالووين خاصتك.,I'm looking forward to your Halloween party.
,,لست متأكدًا مما إذا كنت أفضل هذا أم ذاك.,I'm not sure if I like this one or that one.
,,في حالة الحريق، اتصل بمحظة المطافي.,"In case of fire, telephone the fire station."
,,ألا يوجد ما تريد قوله لي؟,Isn't there something you want to say to me?
,,كان من الصعب إزالة بقعة القهوة.,It was difficult to remove the coffee stain.
,,يظهر أن الطقس يتحسن.,It would seem that the weather is improving.
,,من المستحيل تعلم الإنجليزية في شهر.,It's impossible to learn English in a month.
,,أرادت ماري معرفة ما إن كان لِتوم حبيبة.,Mary wanted to know if Tom had a girlfriend.
,,أبي يعطي أمي كل راتبه الشهري.,My father gives my mother all of his salary.
,,الناس يعيشون في جميع أنحاء العالم.,People are living in all parts of the world.
,,لم تعرف كيف تتصرف تجاه المشكلة.,She didn't know what to do with the problem.
,,بعض الأطفال يلعبون ألعاب الفيديو في جميع الأوقات.,Some children play video games all the time.
,,بعض الأطفال يلعبون ألعاب الفيديو في كل الأوقات.,Some children play video games all the time.
,,في هذا العالم يعاني بعضُ الناسِ الجوعَ.,Some people in the world suffer from hunger.
,,يلعب التلفاز دوراً هاماً في الحياة اليومية.,TV plays an important part in everyday life.
,,المنطقة القطبية هي تلك الواقعة حول القطب الشمالي.,The Arctic is the area round the North Pole.
,,بدأ التكساسيون بتنظيم جيوشهم.,The Texans began to organize their own army.
,,المتهم بريء حتى تثبت إدانته.,The accused is innocent until proven guilty.
,,هذا الشرح يتخطى طاقتي الاستعابية.,The explanation was beyond my understanding.
,,افتُتحت المستشفى الشهر الماضي.,The hospital had a grand opening last month.
,,وصل الشرطة إلى مكان الحادثة.,The police got to the scene of the accident.
,,سال السائح بخصوص المكوث لهذه الليلة .,The tourist asked for lodging for the night.
,,لا يوجد إقبال كافٍ على هذه البضاعة.,There is not enough demand for this product.
,,في يوم من الأيام كان هناك مكتب بريدي على هذه الزاوية من الشارع.,There was a post office on this corner once.
,,كان هناك ثلاثة ينتظرون أمامي.,There were three people waiting in front me.
,,يوجد حمام سياحة وصالة بولينج.,There's a swimming pool and a bowling alley.
,,هذه كتبي، وتلك كتبه.,"These are my books, and those are his books."
,,يجب أن يكونوا قد جُنّوا للاعتقاد في مثل هذا الهراء.,They must be crazy to believe such nonsense.
,,هذه الوردة أجمل من تلك.,This flower is more beautiful than that one.
,,هذا بالضبط ما لم يكن توم يريد حدوثه.,This is just what Tom didn't want to happen.
,,هذه أكبر قطة رأيتها في حياتي.,This is the biggest cat that I've ever seen.
,,جريدة اليوم تحذّر من قدوم عاصفة.,Today's paper says that a typhoon is coming.
,,اتصل بي توم مرات كثيرة الأسبوع الماضي.,Tom has called me many times this past week.
,,توم في الخارج يلعب لعبة الصحن الطائر مع كلبه.,Tom is outside playing frisbee with his dog.
,,توم كثير الاهتمام بالميثولوجيا اليونانية.,Tom is really interested in Greek mythology.
,,يجلس توم على الطاولة بقرب النافذة.,Tom is sitting at the table near the window.
,,قال توم أنه يمكنه إدراك الحفلة.,Tom said that he could make it to the party.
,,حاول توم إيقاف ماري عن التحدث مع جون.,Tom tried to stop Mary from talking to John.
,,الإستيقاظ هو عكس النوم.,Waking up is the opposite of going to sleep.
,,الإستيقاظ ضد النوم.,Waking up is the opposite of going to sleep.
,,لا نستطيع أن نكون الشخصان الوحيدان المتأخران,We can't be the only two people who're late.
,,ما إنطباعك عن أمريكا؟,What's your impression of the United States?
,,ليست معك حيوانات أو نباتات، صحيح؟,"You don't have any plants or animals, right?"
,,لا تظن أن توم سيتصل بك مجددا، أليس كذلك؟,"You don't think Tom will call again, do you?"
,,أنت لم تقم بغسل يديك إلي الآن ،أليس كذلك؟,"You haven't washed your hands yet, have you?"
,,يجب أن لا تحكم على الآخرين من مظهرهم.,You shouldn't judge others on how they look.
,,ما أن رأى الشرطي حتى ركض هارباً.,"As soon as he saw the policeman, he ran away."
,,و أخيراً أنهيت دراسة المرحلة الإعدادية.,"At last, I graduated from junior high school."
,,هل لك أن تخبرني كيف أصل إلى مركز لنكن؟,Can you tell me how to get to Lincoln Center?
,,ألم يخطر ببالك أن تغلق النوافذ؟,Did it not occur to you to close the windows?
,,"هل لديك أدنی فكرة عن سبب كره ""توم"" لي ؟",Do you have any idea why Tom doesn't like me?
,,هل تظنه أخطأ عمدًا؟,Do you think he made that mistake on purpose?
,,لا تضف جملا من مصادر محفوظة الحقوق.,Don't add sentences from copyrighted sources.
,,على السائقين أن ينتبهوا لقواعد المرور.,Drivers should be aware of the traffic rules.
,,سامحني على فتح خطابك عن طريق الخطأ.,Excuse me for opening your letter by mistake.
,,فلورنس هي أجمل مدن إيطاليا.,Florence is the most beautiful city in Italy.
,,لقد ابتزّها بمبلغ كبير من المال.,He extorted a large amount of money from her.
,,نظر إليّ شزرًا.,He looked at me out of the corner of his eye.
,,سيصدر كتابه الشهر القادم.,His new book is going to come out next month.
,,ما المبلغ الذي كان عليك دفعه للتذاكر؟,How much did you have to pay for the tickets?
,,لا أريد أن تكون أية صلة بين و بينك.,I don't want to have anything to do with you.
,,وجدت هذا الخاتم في الشارع هذا الصباح,I found this ring on the street this morning.
,,أضمن لك أنّ هذه المعلومات صحيحة.,I guarantee that this information is correct.
,,أؤكد لك صحة هذه المعلومات.,I guarantee that this information is correct.
,,عليّ أن أعيد الكتاب قبل السبت.,I have to give back the book before Saturday.
,,أحتاج التحدث معك عن أمر طارئ,I need to talk to you about an urgent matter.
,,ندمت بحق على ما قلته لها البارحة.,I really regret what I said to her yesterday.
,,أجبته تلقائياً عندما سمعت اسمي.,I replied automatically when I heard my name.
,,ظننت أنّك لا تعرف فعل أيّ شيء.,I thought you didn't know how to do anything.
,,أشرب عادةً كوبًا من الحليب على الإفطار.,I usually have a glass of milk for breakfast.
,,أريد إجابة منك في أسرع وقت ممكن,I want an answer from you as soon a possible.
,,سأحاول ما استطعتُ ألّا أُقاطِع مذاكرتك.,I'll do my best not to disturb your studying.
,,سأتواصل معك عبر الهاتف غدا.,I'll get in touch with you by phone tomorrow.
,,أحبك و أريد الزواج بك.,I'm in love with you and I want to marry you.
,,أحبك و أريد أن أتزوجك.,I'm in love with you and I want to marry you.
,,إنني لا أحاول أن أسلبك حقوقك.,I'm not trying to deprive you of your rights.
,,أنا لا أحاول سلب حقوقك.,I'm not trying to deprive you of your rights.
,,المعذرة، لا أريد التحدث عن الموضوع.,"I'm sorry, but I don't want to talk about it."
,,بدأت أحب الصورة أكثر من أي وقت مضى.,I've come to like the picture more than ever.
,,إذا لم تكن معنا فأنت ضدنا.,If you're not with us then you're against us.
,,إذا لم تكن في صفنا فسنعدك من أعدائنا.,If you're not with us then you're against us.
,,إذا لم تكن تؤيدنا فأنت عدونا.,If you're not with us then you're against us.
,,"في البندقية , دائما هنالك الكثير من السياح .","In Venice, there are always lots of tourists."
,,أصحيح أن الأوروبيين لا يستحمون كل يوم؟,Is it true that Europeans don't shower daily?
,,كانت الدنيا مظلمةً حين وصلت إلى منزلي ليلة أمس.,It was quite dark when I got home last night.
,,سيكون من الصعب لنا فعل ذلك.,It's going to be difficult for us to do that.
,,إنعدان الطعام أضحت به ضعيفاً ومنهكاً.,Lack of food had left him weak and exhausted.
,,فاز فريق مانتشستر يونايتد بأربعة أهداف مقابل إثنين.,"Manchester United won the match, four to two."
,,يأتي العديد من السياح الى هذه الجزيرة كل سنة .,Many tourists come to this island every year.
,,عادةً ما يفطر جدي عند السادسة.,My grandfather usually eats breakfast at six.
,,لن أتفاجئ مهما يحدثُ.,"No matter what happens, I won't be surprised."
,,لن يصغي إليك أحدا حتى تقول شيئا خاطئاً.,Nobody listens until you say something wrong.
,,كان الناس يعتقدون بأن الأرض مسطحة.,People used to think that the earth was flat.
,,من سيكذب لأجلك، سيكذب عليك.,"People who will lie for you, will lie to you."
,,"من فضلك تحدث ببطء, كي أفهمك.","Please speak slowly, so I can understand you."
,,من فضلك ترجم هذه الجملة إلى اليابانية.,Please translate this sentence into Japanese.
,,أنجزت المهمة بقوة إرادتها.,She accomplished the task through sheer will.
,,تتكلم كأنها تعرف كل شيء عنه.,She talks as if she knew everything about it.
,,إنها تريد شراء هدية لصديقها.,She wants to buy a present for her boyfriend.
,,هذه أكبر حبة فراولة رأيتها حتى الآن.,That's the biggest strawberry I've ever seen.
,,هذه أكبر فراولة رأتها عيناي.,That's the biggest strawberry I've ever seen.
,,لم يسمح لنا البستاني بالمشي على العشب.,The gardener didn't let us walk on the grass.
,,تحركوا خاطفو الطائرة الى مؤخرة الطائرة .,The hijackers moved to the rear of the plane.
,,يبلغ عدد سكان اليابان حوالي مئة و عشرون مليون نسمة.,The population of Japan is about 120 million.
,,تأجلت رحلتهم بسبب المطر.,Their trip was postponed because of the rain.
,,أُجلت رحلتهم بسبب هطول المطر.,Their trip was postponed because of the rain.
,,ثمّة العديد من الكلمات التي لا أفهمها.,There are many words that I don't understand.
,,هناك حدود بين أمريكا والمكسيك.,There is a border between America and Mexico.
,,هناك رجل غريب أمام المنزل.,There is a strange man in front of the house.
,,كان هناك قلعة على هذا التل.,There used to be a small castle on this hill.
,,كان هناك حصن على تلك الهضبة في يوم من الأيام.,There used to be a small castle on this hill.
,,هناك شيئا اريد ان اناقشه معك.,There's something I want to discuss with you.
,,هذا الكتاب ممتع أكثر من ذاك.,This book is even more interesting than that.
,,هذه ليست مظلتي، إنها لشخص ما.,This isn't my umbrella; it's somebody else's.
,,لم يشعل النار مع أن الجو كان بارداً.,"Though it was cold, he didn't light the fire."
,,لم يفوت توم وماري على أنفسهما الاستمتاع بالحفلة.,Tom and Mary enjoyed themselves at the party.
,,لم يعرف توم كم واحداَ منهم احتاج الي مساعدة,Tom didn't know how many of them needed help.
,,يعتقد توم انه كان في كل وقت في العالم.,Tom thought he had all the time in the world.
,,الكثير من الضغط ربما يؤدي إلى مرض عضوي.,Too much stress can lead to physical disease.
,,غالباً ما يشتري السياح الهدايا التذكارية من هذا المتجر .,Tourists often bought souvenirs in this shop.
,,يجتاح السياح هذه الجزيرة في الصيف.,Tourists take over this island in the summer.
,,أطفأ التلفاز. لا يمكنني التركيز.,Turn off the television. I can't concentrate.
,,هل توم هو من اعطاك مسدس الماء هذا ؟,Was Tom the one who gave you this squirt gun?
,,ما الذي عليّ فعله الآن بعد أن سجّلت؟,What do I have to do now that I'm registered?
,,ماذا أفعل الآن بعد أن أصبحت عضواً؟,What do I have to do now that I'm registered?
,,ما الفرق بين هذا و ذاك؟,What is the difference between this and that?
,,ايها الناس امضوا قدماً . نحن سوف نتبعكم .,You people go ahead. We'll bring up the rear.
,,نجاحك يعود لاجتهادك في عملك.,Your success is the result of your hard work.
,,تستطيع النملة أن ترفع أكثر من خمسين ضعف وزنها.,An ant can lift more than 50 times its weight.
,,ألست قلقا من إحتمال أن يُجرح توم؟,Aren't you worried that Tom might get injured?
,,ما إن جلسنا حتى جاءت لنا بالقهوة.,"As soon as we sat down, she brought us coffee."
,,أيمكنك أن توصلني إلى محطة القطار؟,Could you give me a lift to the train station?
,,أبإمكانك أن تقلني إلى محطة القطار؟,Could you give me a lift to the train station?
,,تقع كرواتيا في الجزء الجنوبي الشرقي من أوروبا.,Croatia is in the southeastern part of Europe.
,,إنهُ لم يستطع أن ينتظر ليجرب لوح ركوب الأمواج.,He couldn't wait to try out his new surfboard.
,,أومأ برأسه إشارةً إلى موافقته على خطتي.,He nodded to show that he approved of my plan.
,,يريد شراء عقد لؤلؤ لزوجته.,He wants to buy a pearl necklace for his wife.
,,برأيك، لكَم من الوقت يستطيع توم حبس نفَسه؟,How long do you think Tom can hold his breath?
,,أنا لا أريد أن يكون هناك أي سوء فهم.,I don't want there to be any misunderstanding.
,,نسيت كتابة العنوان على الظرف.,I forgot to write the address on the envelope.
,,لم يؤذن لي بإطلاعك على ما تريد معرفته.,I'm not allowed to tell what you want to know.
,,انها مقصد مشهور للسياح .,It is a very popular destination for tourists.
,,يهمّني أن نتبع القوانين.,It's important to me that we follow the rules.
,,ليس من الأدب أن تتكلم و فمك ممتلئ.,It's not polite to speak with your mouth full.
,,لنعمل حفلةَ شاي بعد غد.,Let's have a tea party the day after tomorrow.
,,ربما على توم التوقف قبل أن يؤذي نفسه.,Maybe Tom should quit before he hurts himself.
,,لقد انتُهِكَ السُياح في الملهى .,The tourists were ripped off at the nightclub.
,,هذا مكان المعركة.,This is the place where the battle took place.
,,كتبنا أنا وتوم عدة كتب معا.,Tom and I have written several books together.
,,بذل توم ما بوسعه لشرح ما حدث.,Tom did his best to explain what had happened.
,,لتوم الكثير من المال، ولكنه يفتقر للأصدقاء.,"Tom has a lot of money, but he has no friends."
,,لم يكن توم الوحيد الذي فوّت الاجتماع.,Tom isn't the only one who missed the meeting.
,,نظر توم لنفسه في مرآة الرؤية الخلفية.,Tom looked at himself in the rear-view mirror.
,,فتح توم ثلاجته و نظر داخلها.,Tom opened his refrigerator and looked inside.
,,ركن توم الشاحنة أمام منزل ماري.,Tom parked the truck in front of Mary's house.
,,توم اخبرني بانه يخطط لترك زوجته.,Tom told me he was planning to leave his wife.
,,يريد توم أن تعرف ماري بأنها يمكنها الوثوق به.,Tom wants Mary to know that she can trust him.
,,تزداد الحوادث يوماً بعد يوم.,Traffic accidents are increasing year by year.
,,تزداد الحوادث سنةً بعد سنة.,Traffic accidents are increasing year by year.
,,عندما عدت إلى المنزل ، اكتشفت أني أضعت محفظتي.,"When I got home, I found I had lost my wallet."
,,أيّهما تفضّل، أهذا أم ذاك؟,"Which one do you prefer, this one or that one?"
,,أنتَ لستُ في موقف يسمح لتسأل عن أي شئ.,You are not in a position to ask for anything.
,,أنتَ لست في وضع يسمح لكي تسأل عن أي شئ.,You are not in a position to ask for anything.
,,يمكنك التزلج بأمان على هذا الجانب من البحيرة.,You can skate safely on this side of the lake.
,,عليك أن تتعلم الصبر على هذا الجوّ.,You have to learn to put up with this weather.
,,أنتَ فقط تهرب من مشاكل الحياة.,You're just running away from life's problems.
,,أنتِ فقط تهربين من مشاكل الحياة.,You're just running away from life's problems.
,,امرأةً مثلك لا تستحق رجلاً مثلي.,A woman like you doesn't deserve a man like me.
,,كل ما عليك فعله أن تنتبه لنفسك.,All you have to do is to take care of yourself.
,,تقريباً يحمل جميع السياح آلة تصوير معهم.,Almost every tourist carries a camera with him.
,,هل سبق لك أن حلمت بالطيران في السماء؟,Do you ever dream about flying through the sky?
,,هل يجب ان تُكتْب هذه الرسالة بالإنجليزية,Does this letter have to be written in English?
,,لا تقلق بشأن الأشياء الغير مهمة.,Don't worry about things that aren't important.
,,كل شيء كان على ما يرام حتى بدأ توم الشرب.,Everything was fine until Tom started drinking.
,,لو أنني وصلت أبكر، لعله أمكنني رؤية كيلي.,"Had I arrived earlier, I could have seen Kelly."
,,كان من الممكن أن أرى كيلي، لو أنني وصلت مبكرا.,"Had I arrived earlier, I could have seen Kelly."
,,هل سبق أن استدنت من شركتك؟,Have you ever borrowed money from your company?
,,هو أنقذ الطفل مجازفاً بحياته.,He saved the child at the risk of his own life.
,,هو أنقذ الطفل مخاطراً بحياته.,He saved the child at the risk of his own life.
,,أخبرني أنه يريد ترك الشركة.,He told me that he wanted to leave the company.
,,لقد كان أحمق بما يكفي ليصدق ما قالته.,He was foolish enough to believe what she said.
,,كان سيخبرني بالحقيقة إذا كنت سألته.,"He would tell me the truth, if I would ask him."
,,كم يوماً تحتاج عادةً للوصول إلى هناك؟,How many days do you usually need to get there?
,,كم حقيبة ستأخذون في رحلتكم؟,How many suitcases are you taking on your trip?
,,"أنا أطهو, ولكن لا أفعل هذا بمتعة كبيرة.","I cook, but I don't do that with much pleasure."
,,"أنا أطبخ, لكن لا أفعل هذا بمتعة كبيرة.","I cook, but I don't do that with much pleasure."
,,لم أكن لأفعل ذلك من دون مساعدتك.,I couldn't have done it without you. Thank you.
,,لي صديق أباه ممثل مشهور.,I have a friend whose father is a famous actor.
,,"أنا أحب السباحة, ولكن لا أحب أن أسبح هنا.","I like swimming, but I don't like to swim here."
,,لم أكن أتخيل للحظة أنني سوف أفوز.,I never for a moment imagined that I would win.
,,أريد أن أتعلم كيف أقول هذه الكلمة باللغة العربية.,I want to learn how to say this word in Arabic.
,,أردت الذهاب إلى مكان لم يسبق لي الذهاب إليه.,I wanted to go somewhere I'd never been before.
,,سأحصل على المال من توم بطرقة أو بأخرى.,I'll get the money from Tom one way or another.
,,سوف أعلمك كيفية صيد السمك الاحد المقبل.,I'm going to teach you how to fish next Sunday.
,,أنا أتتطلع للعمل معك.,I'm looking forward to doing business with you.
,,لن أتوقّف عن البحث حتّى أجد توم.,I'm not going to stop looking until I find Tom.
,,أنا متأكد أني أستطيع أن أفعل هذا بطريقة أو بأخري.,I'm pretty sure I can do it one way or another.
,,إن لم يكن هناك ما تفعله، لمَ لا تقرأ كتابا؟,"If you have nothing to do, why not read a book?"
,,هل من الممكن أنها بالفعل الساعة الثامنة؟,Is it possible that it's already eight o'clock?
,,يُقال أن التدخين سيئ للصحة.,It is said that smoking is bad for your health.
,,أمضيت ساعتين و أنا أحفظ هذه الجملة.,It took me two hours to memorize this sentence.
,,كان لطفًا عظيمًا منك أن تهديني هديةً جميلةً.,It was very kind of you to give me a nice gift.
,,كان من عظيم لطفك أن أعرتني مظلةً.,It was very kind of you to lend me an umbrella.
,,كان أبي وأمي جالسين تحت شجرةٍ.,My father and mother were sitting under a tree.
,,أخبرتني ذات يوم أنها أرادت قطة أليفة.,"One day, she told me that she wanted a pet cat."
,,مات مليون شخص في الحرب.,One million people lost their lives in the war.
,,مليون شخص استُشهدوا في الحرب.,One million people lost their lives in the war.
,,ربما، كنت لتفضل طبقًا فرنسيا.,Perhaps you would have preferred a French dish.
,,رجاء اترك رسالة على المجيب الآلي.,Please leave a message on my answering machine.
,,من فضلك أخبرني كيف أكون على تواصل معها.,Please tell me how I can get in touch with her.
,,من فضلِك أخبريني كيف أكون على تواصل معها.,Please tell me how I can get in touch with her.
,,أخبرني كيف أتصل به لو سمحت.,Please tell me how I can get in touch with him.
,,هي لا تريدني أن أتحدث حول هذه المسألة.,She doesn't want me to speak about this matter.
,,إنها مشهورة في اليابان وأمريكا أيضًا.,She is well known both in Japan and in America.
,,قضاء وقت مع أطفالك لن يضر.,Spending time with your children couldn't hurt.
,,أخبر توم أنه يمكنه الذهاب عندما ينتهي.,"Tell Tom that when he's finished, he can leave."
,,لم يستطع الفتى أن يجد طريق الخروج من المتاهة.,The boy could not find his way out of the maze.
,,الحفل اختتم بالنشيد الوطني .,The concert concluded with the national anthem.
,,منعنا المطر الغزير من الذهاب للصيد.,The heavy rain prevented us from going fishing.
,,اعتقله الشرطي لقيادته تحت تأثير الكحول.,The policeman arrested him for drunken driving.
,,استمر الجو الممطر عشرة أيام متواصلة.,The rainy weather lasted for ten days straight.
,,وجب على السياح مغادرة البلدة قبل حلول الفجر .,The tourists had to leave the town before dawn.
,,لم يكن هناك أي أثاث في الغرفة على الإطلاق.,There was absolutely no furniture in that room.
,,هذه هي القرية التي عشت فيها طفولتي.,This is the village where I spent my childhood.
,,اشترى توم زوج قفازات دراجة نارية جلدية,Tom bought a pair of leather motorcycle gloves.
,,اشترى توم زوج قفازات جلدية للدراجة النارية,Tom bought a pair of leather motorcycle gloves.
,,لا يوجد أي سبب يدعو توم لئلا يصدق ماري.,Tom didn't have any reason not to believe Mary.
,,لا يوجد أي سبب يدعو توم لكي لا يصدق ماري.,Tom didn't have any reason not to believe Mary.
,,توم أقنع بسهولة ماري أنهُ كان بريئاً.,Tom easily convinced Mary that he was innocent.
,,غالبا ما يشكو توم من طهو أمه,Tom often complains about his mother's cooking.
,,غالبا ما يتذمر توم من طهو أمه,Tom often complains about his mother's cooking.
,,غالباَ مايقود توم سيارته أسرع قليلا من الحد المسموح به,Tom often drives slightly over the speed limit.
,,غالباَ ما يتجاوز توم حد السرعة بقيادته بشكل طفيف,Tom often drives slightly over the speed limit.
,,ينفق توم ساعة يوميا في تعلم الفرنسية.,Tom spends about an hour a day studying French.
,,أخبر توم ماري بأن علاقتهما انتهت.,Tom told Mary that their relationship was over.
,,"ما الذي تعنيه كلمة ""get"" في هذه الجملة؟","What does the word ""get"" mean in this sentence?"
,,عند دخولي إلى الغرفة كان مستغرقاً في قراءة كتاب.,"When I entered his room, he was reading a book."
,,اينما تذهب ، سوف تجد سياح يابانيون .,"Wherever you go, you'll find Japanese tourists."
,,لماذا يهتم المسلمون بالدفن كثيرًا؟,Why do Muslims place such importance on burial?
,,هل تريد أن تذهب إلى حديقة الحيوان بعد ظهر هذا اليوم؟,Would you like to go to the zoo this afternoon?
,,أنت شاب. أما أنا -فعلى العكس- طاعن في السن.,"You are young. I, on the contrary, am very old."
,,ينبغي أن تميز بين الصحيح والخطأ.,You should distinguish between right and wrong.
,,ينبغي أن تقرأ كتبًا مشابهةً إذ أنها نافعة لك.,You should read such books as will benefit you.
,,يجب عليكَ أن لا تحكم علىَ شخص من مظهرهُ.,You shouldn't judge a person by his appearance.
,,يجب عليكِ أن لا تحكمىِِ علىَ شخص من مظهرهُ.,You shouldn't judge a person by his appearance.
,,لا أحب أن أراك تصرخ في وجهها.,You were shouting at her and I don't like that.
,,لن تصل هناك على الوقت إن لم تستعجل.,You won't get there on time if you don't hurry.
,,سيكون حسنًا منك أن تخبره مقدمًا.,You would do well to tell it to him in advance.
,,لن يعجبك ما سأقول.,You're not going to like what I'm going to say.
,,لن يروق لك ما سأقول.,You're not going to like what I'm going to say.
,,ولد مثل توم لا يستحق فتاة مثل ماري.,A boy like Tom doesn't deserve a girl like Mary.
,,ولد مثل توم لا يستحق بنت مثل ماري.,A boy like Tom doesn't deserve a girl like Mary.
,,لم يكن لطفلٍ أن يفهم الموقف.,A child could not have understood the situation.
,,خطأ معلوم خيرٌ من حق مجهول.,A known mistake is better than an unknown truth.
,,إستطلاع يُظهر أن العديد من رجال الأعمال يتخطون الغداء.,A survey shows that many businessmen skip lunch.
,,أتوجد مجلّات إنجليزيّة في هذه المكتبة؟,Are there any English magazines in this library?
,,هل تعتزم زيارة الصين هذا الخريف؟,Are you going to pay a visit to China this fall?
,,هل أنتَ مُتأكِّد أنّنا نسير في الاتّجاه الصّحيح؟,Are you sure we're going in the right direction?
,,هل بإمكانك مساعدتي في المطبخ؟,"Could you give me a hand in the kitchen, please?"
,,أيمكنك أن تتحدث ببطئ من فضلك؟,Could you please speak a little bit more slowly?
